22082806,2,3,259,1495,1004,35,0,0,10120,90
22082812,2,3,269,1485,1002,40,0,0,10120,90
22082818,2,4,272,1469,996,55,90030,30,10120,90
22082900,2,5,273,1453,980,70,90030,30,10120,90
22082903,2,5,274,1444,980,70,90030,30,10120,90
22082906,2,5,274,1432,975,75,90040,40,10120,90
22082909,2,5,274,1423,970,80,90040,40,10120,90
22082912,2,5,273,1413,965,85,90040,40,10120,90
22082915,2,5,272,1403,955,85,90040,40,10120,90
22082918,2,5,271,1392,950,90,90050,50,10120,90
22083000,2,5,268,1373,940,95,90050,50,10120,90
22083006,2,5,268,1354,935,100,90050,50,10120,90
22083012,2,5,266,1336,920,105,90050,50,80120,90
22083015,2,5,265,1327,920,105,90050,50,80120,90
22083018,2,5,263,1319,920,105,90050,50,80120,90
22083021,2,5,261,1311,920,105,90050,50,80120,90
22083100,2,5,259,1303,935,100,90050,50,80120,90
22083103,2,5,257,1296,935,100,90050,50,80120,90
22083106,2,5,254,1290,935,100,90050,50,80120,90
22083109,2,5,251,1284,935,100,90050,50,80120,90
22083112,2,5,247,1277,935,100,90050,50,70130,90
22083118,2,5,237,1263,935,100,90050,50,70130,90
22090100,2,5,226,1257,925,100,90050,50,70210,120
22090106,2,5,218,1255,925,100,90050,50,70240,120
22090112,2,5,213,1255,925,100,90050,50,70270,120
22090118,2,5,213,1255,935,90,90050,50,70300,180
22090200,2,5,215,1255,940,80,90050,50,70300,180
22090206,2,5,219,1250,945,75,90050,50,70300,180
22090212,2,5,221,1246,950,75,90050,50,30325,210
22090218,2,5,225,1246,955,75,90050,50,30325,210
22090221,2,5,227,1246,960,75,90050,50,30325,210
22090300,2,5,230,1246,960,75,20080,60,30350,300
22090303,2,5,233,1246,960,75,20080,60,30350,300
22090306,2,5,238,1247,960,75,20080,60,30350,300
22090309,2,5,240,1248,960,75,20080,60,30350,300
22090312,2,5,243,1249,950,80,20140,90,90350,350
22090315,2,5,248,1247,950,80,20140,90,90350,350
22090318,2,5,251,1246,950,80,20140,90,90350,350
22090321,2,5,255,1246,950,80,20140,90,90350,350
22090400,2,5,260,1246,945,85,20140,90,90350,350
22090403,2,5,263,1245,945,85,20140,90,90350,350
22090406,2,5,270,1247,940,90,20140,90,50375,325
22090409,2,5,275,1244,940,90,20140,90,50375,325
22090412,2,5,277,1245,940,90,20140,90,50375,325
22090418,2,5,286,1247,940,90,20140,90,30325,270
22090500,2,5,298,1249,945,85,20120,90,30325,270
22090503,2,5,302,1251,945,85,20120,90,30325,270
22090506,2,5,310,1255,950,80,20120,90,20350,270
22090509,2,5,316,1260,950,80,20120,90,20350,270
22090512,2,5,323,1266,955,75,90120,120,20350,270
22090515,2,5,333,1272,960,75,90120,120,20350,270
22090518,2,5,342,1281,965,70,90120,120,20350,270
22090521,2,5,351,1291,965,70,90120,120,20350,270
22090600,2,5,364,1307,970,65,90080,80,20350,270
22090603,2,5,378,1319,970,65,90080,80,20350,270
22090606,2,4,398,1336,975,60,90080,80,20350,270
22090612,2,6,440,1370,980,0,,,,
22090618,2,6,475,1394,982,0,,,,
22090700,2,6,526,1384,978,0,,,,
22090706,2,6,548,1391,968,0,,,,
22090712,2,6,558,1391,970,0,,,,
22090718,2,6,567,1408,972,0,,,,
22090800,2,6,580,1429,976,0,,,,
22090806,2,6,582,1450,978,0,,,,
22090812,2,6,589,1470,984,0,,,,
22090818,2,6,599,1492,990,0,,,,
22090900,2,6,617,1499,992,0,,,,
